query,reference,candidate
ransomware attacks targeting healthcare organizations,"Ransomware and data-theft crews are increasingly hitting healthcare through its software supply chain rather than attacking hospitals head-on. Craneware, a British vendor whose products are used by more than 2,000 healthcare organizations and nearly 10,000 clinics and pharmacies, disclosed a breach in which attackers stole a large volume of employee, customer, and partner records, giving the incident significant downstream reach into US healthcare. Fortified Health Security reports that providers flagged roughly six times more supply-chain risks in the first half of 2026 than a year earlier, most of them critical or high severity. Black Kite's annual report adds that many ransomware victims never fix the flaws that let attackers in, leaving them exposed to repeat extortion, and that lower-tier gangs increasingly lean on AI-assisted tooling and convincing spear-phishing to fool help-desk staff. Healthcare-specific campaigns are active too: the Gunra ransomware group exploited a compromised Korean healthcare website and financial-security software to plant backdoors, and Health-ISAC has warned of rising ShinyHunters attacks that prioritize SaaS-account takeover over traditional encryption.","Hackers steal customer data from major hospital software vendor

Hackers breached a major healthcare industry software supplier and stole a large trove of files, the company announced on Monday. The British software firm Craneware, which makes software that helps companies track their financial performance and manage governance requirements, published a regulatory filing about “a cyber security incident involving unauthorised access to a subset of its data environment,” including the theft of “a significant volume” of files that included “employee data as well as a subset of customer and partner records.”

“The current assessment is that a large element of the data involved is non-sensitive or already public regulatory data,” Craneware said, although it added that an investigation by internal IT staff and third-party cybersecurity firms was ongoing. Although Craneware is a British company, its website heavily markets its products to American healthcare firms, and it lists several U.S."
critical vulnerabilities currently being actively exploited,"The clearest active critical exploit is CVE-2026-16812, a CVSS 10.0 unauthenticated OS command-injection flaw in Arista's on-premise VeloCloud Orchestrator; it is under active exploitation and has been added to CISA's Known Exploited Vulnerabilities catalog, with Arista advising admins to restrict management access and block malicious IPs until they can patch. Google's Chrome 149 update is also significant, fixing 28 vulnerabilities, 23 of them high-severity memory-safety bugs, five of which were exploited as zero-days. Beyond those, weekly threat roundups flag a batch of high-severity or already-probed bugs to patch urgently, including flaws in Microsoft Bing (CVE-2026-32194, CVE-2026-32191), Check Point (CVE-2026-62144, CVE-2026-62145), the Linux kernel (CVE-2026-64600), and Google Chrome (CVE-2026-15899 through CVE-2026-15901). A newly disclosed OpenWrt DHCPv6 bug that allows unauthenticated root-level code execution is also being patched, though no in-the-wild exploitation has been confirmed for it yet.","The remaining 23 vulnerabilities are high-severity flaws: nine use-after-free, four insufficient validation of untrusted input, three inappropriate implementation, two insufficient policy enforcement, two out-of-bounds read, an out-of-bounds write, a race condition, and a heap buffer overflow. A dozen of them, including three critical and nine high-severity defects, are use-after-free issues, a type of memory safety bug that could be exploited for remote code execution (RCE), data corruption, or denial-of-service. Five of them have been exploited as zero-days."
North Korean state-sponsored hacking activity,"North Korean state-sponsored operations span cyber-espionage, cryptocurrency theft, and workforce infiltration. The Lazarus-linked Contagious Interview cluster (tracked as WaterPlum, Famous Chollima, and other names) has kept updating its cross-platform OtterCookie malware, whose v4 adds Chrome and MetaMask credential theft and virtual-machine detection, alongside newer families like Tsunami-Framework that loot browsers and crypto wallets. Konni APT (TA406) runs phishing campaigns against Ukrainian and South Korean government targets to gather strategic intelligence, using password-protected archives and PowerShell payloads, while related Kimsuky and APT37 activity delivers RATs such as PEBBLEDASH and RoKRAT. On the financial side, DPRK-linked macOS malvertising uses fake ClickFix update prompts and blockchain-hosted EtherHiding C2 to drop an infostealer targeting 157 cryptocurrency wallets. North Korea also sustains its fraudulent IT-worker scheme (Nickel Tapestry/Wagemole), flooding job sites with AI-generated fake profiles and using tools like Astrill VPN and IP-KVM devices to place operatives inside Western firms and funnel wages back to Pyongyang; Kraken and the US DOJ have both documented recent cases.","OtterCookie v4 Adds VM Detection and Chrome, MetaMask Credential Theft Capabilities

The North Korean threat actors behind the Contagious Interview campaign have been observed using updated versions of a cross-platform malware called OtterCookie with capabilities to steal credentials from web browsers and other files. NTT Security Holdings, which detailed the new findings, said the attackers have ""actively and continuously"" updated the malware, introducing versions v3 and v4 in February and April 2025, respectively. The Japanese cybersecurity company is tracking the cluster under the name WaterPlum, which is also known as CL-STA-0240, DeceptiveDevelopment, DEV#POPPER, Famous Chollima, PurpleBravo, and Tenacious Pungsan."
recent large-scale data breaches,"Several large breaches have surfaced recently across sectors. Craneware, a healthcare-software vendor used by more than 2,000 organizations and nearly 10,000 clinics and pharmacies, had a significant volume of employee, customer, and partner records stolen. The MCBS breach exposed data on about 1.2 million individuals and was claimed by the PEAR ransomware group, which has also taken credit for the Motility Software Solutions hack (766,000 people) and the Tri-Century Eye Care breach (200,000 people). Australian energy company Origin Energy said roughly 900,000 current and former customers had information accessed, potentially including names, addresses, dates of birth, phone numbers, and partial payment-card or bank-account details. Oracle addressed a PeopleSoft vulnerability amid reports of zero-day attacks in which a university confirmed a significant data breach. Health-ISAC has also warned of rising ShinyHunters attacks that prioritize SaaS-account takeover and rapid data exfiltration for extortion over traditional ransomware.","Hackers steal customer data from major hospital software vendor

Hackers breached a major healthcare industry software supplier and stole a large trove of files, the company announced on Monday. The British software firm Craneware, which makes software that helps companies track their financial performance and manage governance requirements, published a regulatory filing about “a cyber security incident involving unauthorised access to a subset of its data environment,” including the theft of “a significant volume” of files that included “employee data as well as a subset of customer and partner records.”

“The current assessment is that a large element of the data involved is non-sensitive or already public regulatory data,” Craneware said, although it added that an investigation by internal IT staff and third-party cybersecurity firms was ongoing. Although Craneware is a British company, its website heavily markets its products to American healthcare firms, and it lists several U.S."
phishing campaigns using AI and deepfakes,"AI is reshaping phishing and social engineering. CrowdStrike's 2025 threat report recorded a 442% rise in voice phishing (vishing) between the first and second halves of 2024, driven by AI-generated impersonation, and North Korean operatives have used deepfakes to create synthetic identities for remote-job interviews. Attackers now use open-source voice and video tools to impersonate trusted people on Zoom, Teams, and Slack calls, which is why vendors argue detection is no longer enough and push cryptographic, real-time identity verification. Phishing kits are automating too: Barracuda reports that LogoKit has evolved into a real-time deception platform that screenshots a victim's real corporate login page and builds a uniquely branded fake for each target. Threat actors also weaponize interest in AI itself, with fake AI tools advertised through Facebook lures spreading the Noodlophile information stealer to tens of thousands of users, and the FreeDrain crypto-phishing operation using LLM-generated text at scale. The common thread is generative AI making convincing, personalized deception cheap and scalable.","Deepfake Defense in the Age of AI

The cybersecurity landscape has been dramatically reshaped by the advent of generative AI. Attackers now leverage large language models (LLMs) to impersonate trusted individuals and automate these social engineering tactics at scale. Let's review the status of these rising attacks, what's fueling them, and how to actually prevent, not detect, them."
software supply chain attacks,"Software supply-chain attacks span open-source package poisoning, enterprise software, and ERP compromises. In the npm ecosystem, GitHub has rolled out hardening steps (trusted publishing, staged publishing, safer GitHub Actions defaults, credential-revocation APIs) after incidents like the Megalodon campaign and compromised Red Hat packages, and npm 12 will change script-execution behavior to curb these attacks. At the enterprise level, China-linked actors including a cluster dubbed Chaya_004 exploited the critical SAP NetWeaver flaw CVE-2025-31324 (CVSS 10.0), an unauthenticated file-upload bug enabling remote code execution, to drop web shells such as the Golang-based SuperShell across hundreds of SAP systems worldwide. The Chinese-speaking group Earth Ammit ran the linked VENOM and TIDRONE campaigns, penetrating the upstream drone supply chain via service providers and ERP software to reach military and satellite targets in Taiwan and South Korea with custom backdoors like CXCLNT and CLNTEND. ENISA has meanwhile opened a call for feedback on strengthening software supply-chain security, given how one compromised dependency can ripple across thousands of downstream projects.","Call for Feedback: Advancing Software Supply Chain Security together! Yet their interconnected nature and security risks can create a ripple effect across the software supply chain, affecting hundreds of thousands of dependent projects."
SAP NetWeaver vulnerability exploitation,"SAP NetWeaver has been under heavy exploitation through CVE-2025-31324, a CVSS 10.0 unauthenticated file-upload flaw allowing remote code execution via the /developmentserver/metadatauploader endpoint. EclecticIQ tied multiple China-nexus groups (UNC5221, UNC5174, CL-STA-0048) to a campaign that backdoored 581 NetWeaver instances and listed 800 more for future targeting, hitting critical infrastructure such as gas, water, and government systems, deploying web shells and follow-on malware like KrustyLoader, SNOWLIGHT, and VShell. A separate China-linked actor, Chaya_004, used the same flaw to plant the Golang SuperShell. Financially motivated crews joined in: ReliaQuest linked BianLian and the RansomExx family (Storm-2460) to exploitation that delivered the PipeMagic trojan, and OP Innovate found Qilin ransomware actors exploiting it weeks before public disclosure. Investigators later found a related deserialization bug in the same Visual Composer component, CVE-2025-42999 (CVSS 9.1), being abused alongside it; CISA added CVE-2025-42999 to its KEV catalog with a June 5, 2025 remediation deadline. SAP customers are urged to apply Security Notes 3594142 and 3604119 and update to the latest version.","China-Linked APTs Exploit SAP CVE-2025-31324 to Breach 581 Critical Systems Worldwide

A recently disclosed critical security flaw impacting SAP NetWeaver is being exploited by multiple China-nexus nation-state actors to target critical infrastructure networks. ""Actors leveraged CVE-2025-31324, an unauthenticated file upload vulnerability that enables remote code execution (RCE),"" EclecticIQ researcher Arda Büyükkaya said in an analysis published today. Targets of the campaign include natural gas distribution networks, water and integrated waste management utilities in the United Kingdom, medical device manufacturing plants oil and gas exploration and production companies in the United States, and government ministries in Saudi Arabia that are responsible for investment strategy and financial regulation."
Lazarus Group cryptocurrency theft,"The retrieved articles cover cryptocurrency theft broadly but do not specifically document Lazarus Group activity, so a grounded answer should note that gap and focus on what is available. Recent crypto-theft cases include a $70 million Bitcoin sweep of 1,196 addresses in 41 minutes, tied by Galaxy Research to a weak-PRNG firmware flaw in Coldcard hardware wallets. Coinbase disclosed that criminals bribed overseas support agents to steal data on under 1% of users to fuel social-engineering theft, then attempted a $20 million extortion; the company offered a matching $20 million bounty. The FreeDrain operation ran industrial-scale SEO-driven phishing across 38,000+ subdomains to steal wallet seed phrases, while the Inferno Drainer drainer-as-a-service drained more than 30,000 wallets for at least $9 million. Law enforcement responded too: the US DOJ charged twelve more suspects over a $263 million crypto theft, and a Europol/Eurojust operation dismantled the AudiA6 laundering network that moved over $388 million for ransomware actors. None of these are attributed to Lazarus in the retrieved material.","Coldcard Hardware Wallet Flaw Linked to $70 Million Bitcoin Theft in 41 Minutes

No one has named the attacker. Galaxy, which mapped the 1,196-address sweep, said it found no other Bitcoin transactions in the previous 30 days with the same 30 sat/vB, no-change signature. It warned that the pattern identifies the operator, not the theft, because a sweep ""looks the same as if a coin owner chose to move coins.""
The disclosure follows Coinspect's Ill Bloom research in early July, a separate weak-PRNG flaw in older software wallets tied to more than $5 million drained from addresses across Bitcoin, Ethereum, Tron, Rootstock and Polygon since May."
vulnerabilities added to the CISA known exploited catalog,"Several vulnerabilities have recently been added to CISA's Known Exploited Vulnerabilities (KEV) catalog. CISA added CVE-2026-42271, a critical command-injection flaw in the BerriAI LiteLLM AI gateway, citing evidence of active exploitation. It also added the critical VeloCloud Orchestrator bug (CVE-2026-16812) under active exploitation, and an unauthenticated OS command-injection flaw in Ivanti Sentry, for which agencies were given three days to remediate in line with BOD 26-04 guidance to prioritize patching by risk. CISA further warned that three vulnerabilities in on-premises Microsoft SharePoint Server are being exploited to steal IIS machine keys. The KEV catalog, established in 2021 alongside Binding Operational Directive 22-01, requires federal agencies to patch listed bugs within set timeframes, and CISA commits to updating it as soon as newly exploited flaws are identified.","CISA mandates patching for actively exploited LiteLLM flaw
CISA has added CVE-2026-42271, a critical command injection vulnerability in the AI gateway BerriAI LiteLLM, to its Known Exploited Vulnerabilities (KEV) catalog due to evidence of active exploitation in the wild."
malware targeting macOS users,"macOS users face a growing range of malware, much of it delivered through social engineering rather than exploits. A DPRK-linked malvertising campaign (part of Contagious Interview) shows a fake full-screen macOS update that uses a ClickFix lure to trick victims into pasting a curl command into Terminal, installing a Node.js backdoor that uses EtherHiding, pulling its C2 address from an Ethereum smart contract, and deploys an information stealer targeting browsers and 157 cryptocurrency wallets. A similar fake Claude install guide campaign leads Mac users to MacSync Stealer, a six-stage kill chain. Supply-chain attacks hit developers too: three malicious npm packages disguised as cheap Cursor API tools infected 3,200+ macOS users, overwriting Cursor's code and disabling auto-updates for persistence. On the patching side, Apple's macOS Tahoe 26.6 update fixed 155 vulnerabilities (with 87 in iOS 26.6), covering flaws that could expose sensitive data, run arbitrary code, or bypass security, though Apple's advisories did not report in-the-wild exploitation.","DPRK-Linked macOS Malvertising Uses Fake Updates to Deliver Crypto-Stealing Malware

Threat actors with ties to North Korea have been attributed to a sophisticated macOS malvertising campaign that involves redirecting users to fake web pages displaying a full-screen non-existent update sequence to deliver malware as part of a new iteration of the long-running Contagious Interview campaign. The defining aspect of the attack is that bogus macOS software update screen stealthily copies an attack command to the clipboard and then prompts the victim to execute it via the Terminal app, a known technique referred to as ClickFix. ""The experience is designed to induce panic,"" AllSecure said in a report shared with The Hacker News."
